"","year","delta","delta_star","delta_plus","delta_var"
"1",2006,4.95670995670996,4.95670995670996,4.95670995670996,1.69509566912164
"2",2007,5.04,5.04,5.04,1.54609230769231
"3",2008,5.18939393939394,5.18939393939394,5.18939393939394,1.24443296602388
"4",2009,5.0183908045977,5.0183908045977,5.0183908045977,1.42035143347866
"5",2010,5.21674876847291,5.21674876847291,5.21674876847291,1.18947317333592
"6",2011,5.2037037037037,5.2037037037037,5.2037037037037,1.28919263178522
"7",2012,5.2807881773399,5.2807881773399,5.2807881773399,1.06401514232328
"8",2013,5.24367816091954,5.24367816091954,5.24367816091954,1.28774739067248
"9",2014,5.29,5.29,5.29,1.17923333333333
"10",2015,5.11640211640212,5.11640211640212,5.11640211640212,1.36211192295848
"11",2016,5.13756613756614,5.13756613756614,5.13756613756614,1.39906497578455
"12",2017,5.14021164021164,5.14021164021164,5.14021164021164,1.40097561658408
"13",2018,5.18840579710145,5.18840579710145,5.18840579710145,1.3050829657635
"14",2019,5.13846153846154,5.13846153846154,5.13846153846154,1.34390532544379
"15",2020,5.1025641025641,5.1025641025641,5.1025641025641,1.41398202936664
