species,scientific name
Cod Atlantic,Gadus morhua
Crab Atlantic Rock,Cancer irroratus
Crab Jonah,Cancer borealis
Cusk,Brosme brosme
Eel American,Anguilla rostrata
Flounder Atlantic Witch (Gray Sole),Glyptocephalus cynoglossus
Flounder Winter,Pseudopleuronectes americanus
Haddock,Melanogrammus aeglefinus
Hake White,Urophycis tenuis
Halibut Atlantic,Hippoglossus hippoglossus
Herring Atlantic,Clupea harengus
Lobster American,Homarus americanus
Monkfish,Lophius americanus
Other Species,
Plaice American (Dab),Hippoglossoides platessoides
Pollock,Pollachius virens
Redfish Acadian Ocean Perch,Sebastes fasciatus
Scallop Sea,Placopecten magellanicus
Shrimp Northern,Pandalus borealis
Wolffish Atlantic,Anarhichas lupus
Bloodworms,
Clam Soft,
Mussel Blue Sea,Mytilus edulis
Sandworms,
Sea Urchins Green,Strongylocentrotus droebachiensis
Oyster Eastern / American,Crassostrea virginica
Periwinkles Atlantic (Cockles),
Clam Northern Quahog / Hard,Mercenaria mercenaria
Crab Unc,
Flounder Yellowtail,Limanda ferruginea
Hake Silver (Whiting),Merluccius bilinearis
Herrings Unc,
Mackerel Atlantic,Scomber scombrus
Cucumber Sea,Cucumaria frondosa
Bluefish,Pomatomus saltatrix
Menhaden Atlantic,Brevoortia tyrannus
Elver,Anguilla rostrata
Sea Urchin,
Clam Ocean Quahog,Arctica islandica
Clam Razor Atlantic,Ensis directus
Dogfish Spiny,Squalus acanthias
Hagfish,Myxine glutinosa
Oyster European Flat,Ostrea edulis
Periwinkle Common,Littorina littorea
Seaweed Unc,
Smelts,
Squid Long Finned,Loligo pealeii
Unidentified Catch,
Rockweed,Fucus vesiculosus
Tuna Atlantic Bluefin,Thunnus thynnus
Skates,
Swordfish,Xiphias gladius
Whelk Waved,Buccinum undatum
Squid Short-Finned,Illex illecebrosus
Yellow Eel,Anguilla rostrata
Tuna Bigeye,Thunnus obesus
Clam Surf / Hen,Spisula solidissima
